id,ratings,price,img_url,corpus,brand,mobile_name,color,storage,system,processor_type,resolution,size
1,4.2,89999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/m/7/-original-imagndwgszztcbsb.jpeg?q=70,storage256 gbram8  systemandroid 13processor typemediatek dimensity 9000processor speed32 50mp 8mp 50mp 8mp 32mp 32mp 5g capacity4300 display size1727 cm 68 inchresolution2520 x 1080 pixelsresolution typefull hdgpuarm malig710 mc10display typefull hd amoled displayother display featuresscreentobody ratio 8648 color saturation 97 ntsc 8 bit color aspect ratio 219 color gamut vivid mode 97 ntsc100 dcip3 gentle mode 70 ntsc100 srgb contrast ratio static contrast ratio max 10000001 dynamic contrast ratio max 20000001 supports sunshine screen brightness 1600 nits screen curvature 2d screen refresh rate 120 hz ltpo variable frequency display min 1 hz touch sampling rate 240 hz screen protector type ar 2d film oleophobic coating on screen,oppo,Find N2 Flip,purple,256,android,mediatek,Full HD,6.8
2,4.3,89999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/m/7/-original-imagndwgszztcbsb.jpeg?q=70,storage256 gbram8  systemandroid 13processor typemediatek dimensity 9000processor speed32 50mp 8mp 50mp 8mp 32mp 32mp 5g capacity4300 display size1727 cm 68 inchresolution2520 x 1080 pixelsresolution typefull hdgpuarm malig710 mc10display typefull hd amoled displayother display featuresscreentobody ratio 8648 color saturation 97 ntsc 8 bit color aspect ratio 219 color gamut vivid mode 97 ntsc100 dcip3 gentle mode 70 ntsc100 srgb contrast ratio static contrast ratio max 10000001 dynamic contrast ratio max 20000001 supports sunshine screen brightness 1600 nits screen curvature 2d screen refresh rate 120 hz ltpo variable frequency display min 1 hz touch sampling rate 240 hz screen protector type ar 2d film oleophobic coating on screen,oppo,Find N2 Flip,purple,256,android,mediatek,Full HD,6.8
3,4.2,89999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/z/u/-original-imagndwg4v7crhhd.jpeg?q=70,storage256 gbram8  systemandroid 13processor typemediatek dimensity 9000processor speed32 50mp 8mp 50mp 8mp 32mp 32mp 5g capacity4300 display size1727 cm 68 inchresolution2520 x 1080 pixelsresolution typefull hdgpuarm malig710 mc10display typefull hd amoled displayother display featuresscreentobody ratio 8648 color saturation 97 ntsc 8 bit color aspect ratio 219 color gamut vivid mode 97 ntsc100 dcip3 gentle mode 70 ntsc100 srgb contrast ratio static contrast ratio max 10000001 dynamic contrast ratio max 20000001 supports sunshine screen brightness 1600 nits screen curvature 2d screen refresh rate 120 hz ltpo variable frequency display min 1 hz touch sampling rate 240 hz screen protector type ar 2d film oleophobic coating on screen,oppo,Find N2 Flip,black,256,android,mediatek,Full HD,6.8
4,4.4,60990,https://rukminim2.flixcart.com/image/312/312/jjylw280/mobile/v/y/2/oppo-find-x-cph1871-original-imaf7fb93mkshx5g.jpeg?q=70,storage256 gbram8  systemandroid oreo 810processor typesnapdragon 845 octa core 2649 ghzprocessor speed2649 16mp 20mp 25mp 3g capacity3730 display size1626 cm 64 inchresolution2340 x 1080 pixelsresolution typefull hdgpuadreno 630display typeamoleddisplay colors16mother display features938 percent screen ratio screen contrast 600001 color saturation ntsc 97 percent maximum brightness 430 nits corning gorilla glass 5 touch screen supplier samsung display,oppo,Find X,blue,256,android,qualcomm,Full HD,6.4
5,4.3,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
6,4.4,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
7,4.5,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/z/d/-original-imagrn6d7ggk4wjp.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 2g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,silver,256,android,mediatek,Full HD,6.7
8,3.8,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
9,4.0,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
10,4.5,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
11,4.2,39999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/f/f/-original-imagr9y52dxsxc27.jpeg?q=70,storage256 gbram12  systemandroid 13processor typesnapdragon 778g 5gprocessor speed24 50mp 32mp 8mp 50mp 32mp 8mp 32mp 32mp 5g capacity4600 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuadreno 642ldisplay typefull hd oled displaydisplay colors1 billionother display features120 hz ultra high refresh rate 100 p3 wide gamut brightness 500 nits screentobody ratio 93 hdr10 certification ultra thin bazel,oppo,Reno10 Pro 5G,silver,256,android,qualcomm,Full HD,6.7
12,4.2,39999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/7/p/-original-imagr9y5a3qdkkge.jpeg?q=70,storage256 gbram12  systemandroid 13processor typesnapdragon 778g 5gprocessor speed24 50mp 32mp 8mp 50mp 32mp 8mp 32mp 32mp 2g capacity4600 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuadreno 642ldisplay typefull hd oled displaydisplay colors1 billionother display features120 hz ultra high refresh rate 100 p3 wide gamut brightness 500 nits screentobody ratio 93 hdr10 certification ultra thin bazel,oppo,Reno10 Pro 5G,purple,256,android,qualcomm,Full HD,6.7
13,4.6,54999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/l/i/-original-imagr9y5zv5zmc8k.jpeg?q=70,storage256 gbram12  systemandroid 13processor typesnapdragon 8 gen 1processor speed3 50mp 64mp 8mp 50mp 64mp 8mp 32mp 32mp 2g capacity4700 display size1712 cm 674 inchresolution2772 x 1240 pixelsresolution typefull hdgpuadreno 730display typefull hd oled displayother display featuresscreentobody ratio 939 15k ultra clear borderless display 10 bit image display 100 p3 wide color gamut brightness 500 nit peak brightness 1400 nit screen cover dtstar2 45 hz120 hz ltps dynamic refresh rate,oppo,Reno10 Pro+ 5G,purple,256,android,qualcomm,Full HD,6.7
14,4.6,54999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/o/h/-original-imagr9y5hp4fkzer.jpeg?q=70,storage256 gbram12  systemandroid 13processor typesnapdragon 8 gen 1processor speed3 50mp 64mp 8mp 50mp 64mp 8mp 32mp 32mp 5g capacity4700 display size1712 cm 674 inchresolution2772 x 1240 pixelsresolution typefull hdgpuadreno 730display typefull hd oled displayother display featuresscreentobody ratio 939 15k ultra clear borderless display 10 bit image display 100 p3 wide color gamut brightness 500 nit peak brightness 1400 nit screen cover dtstar2 45 hz120 hz ltps dynamic refresh rate,oppo,Reno10 Pro+ 5G,silver,256,android,qualcomm,Full HD,6.7
15,4.4,39990,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/p/n/m/reno2-128-c-cph1907-oppo-8-original-imafkffrqkhxaqaj.jpeg?q=70,storage256 gbram8 gbexpandable storage256gb  systemandroid pie 9processor typequalcomm snapdragon 730gprocessor speed22 48mp 8mp 13mp 2mp 16mp 4g capacity4000 display size1651 cm 65 inchresolution2340 x 1080 pixelsgpuadreno 618display typeamoleddisplay colors16mother display featuresupper bezel 177 mm left and right bezels 165 mm lower bezel 335 mm,oppo,Reno2,black,256,android,qualcomm,Full HD,6.5
16,4.4,32990,https://rukminim2.flixcart.com/image/312/312/k79dd3k0/mobile/t/k/v/oppo-reno3-pro-cph2035-original-imafpj4fpqp3zpq3.jpeg?q=70,storage128 gbram8 gbexpandable storage256gb  systemandroid 10processor typemediatek helio p95processor speed22 64mp 13mp 8mp 2mp 64mp 64mp 13mp 8mp 2mp 44mp 2mp 44mp 44mp 2mp 4g capacity4025 display size1626 cm 64 inchresolution2400 x 1080 pixelsdisplay typesuper amoleddisplay colors167mother display featuresscreen to body ratio 915 screen supplier samsung,oppo,Reno3 Pro,white,128,android,mediatek,Full HD,6.4
17,4.4,32990,https://rukminim2.flixcart.com/image/312/312/k79dd3k0/mobile/z/p/h/oppo-reno3-pro-cph2035-original-imafpj4fgfrzskf3.jpeg?q=70,storage128 gbram8 gbexpandable storage256gb  systemandroid 10processor typemediatek helio p95processor speed22 64mp 13mp 8mp 2mp 64mp 64mp 13mp 8mp 2mp 44mp 2mp 44mp 44mp 2mp 4g capacity4025 display size1626 cm 64 inchresolution2400 x 1080 pixelsdisplay typesuper amoleddisplay colors167mother display featuresscreen to body ratio 915 screen supplier samsung,oppo,Reno3 Pro,blue,128,android,mediatek,Full HD,6.4
18,4.4,35990,https://rukminim2.flixcart.com/image/312/312/k9u8zgw0/mobile/z/q/k/oppo-reno3-pro-cph2035-original-imafrjhzv6urnftv.jpeg?q=70,storage256 gbram8 gbexpandable storage256gb  systemandroid 10processor typemediatek helio p95processor speed22 64mp 13mp 8mp 2mp 64mp 64mp 13mp 8mp 2mp 44mp 2mp 44mp 44mp 2mp 4g capacity4025 display size1626 cm 64 inchresolution2400 x 1080 pixelsdisplay typesuper amoleddisplay colors167mother display featuresscreen to body ratio 915 screen supplier samsung,oppo,Reno3 Pro,white,256,android,mediatek,Full HD,6.4
19,4.4,32990,https://rukminim2.flixcart.com/image/312/312/k79dd3k0/mobile/h/q/n/oppo-reno3-pro-cph2035-original-imafpj4fspdkfmmt.jpeg?q=70,storage128 gbram8 gbexpandable storage256gb  systemandroid 10processor typemediatek helio p95processor speed22 64mp 13mp 8mp 2mp 64mp 64mp 13mp 8mp 2mp 44mp 2mp 44mp 44mp 2mp 4g capacity4025 display size1626 cm 64 inchresolution2400 x 1080 pixelsdisplay typesuper amoleddisplay colors167mother display featuresscreen to body ratio 915 screen supplier samsung,oppo,Reno3 Pro,black,128,android,mediatek,Full HD,6.4
20,4.4,35990,https://rukminim2.flixcart.com/image/312/312/k9u8zgw0/mobile/7/j/w/oppo-reno3-pro-cph2035-original-imafrjhzs6wtzsyz.jpeg?q=70,storage256 gbram8 gbexpandable storage256gb  systemandroid 10processor typemediatek helio p95processor speed22 64mp 13mp 8mp 2mp 64mp 64mp 13mp 8mp 2mp 44mp 2mp 44mp 44mp 2mp 4g capacity4025 display size1626 cm 64 inchresolution2400 x 1080 pixelsdisplay typesuper amoleddisplay colors167mother display featuresscreen to body ratio 915 screen supplier samsung,oppo,Reno3 Pro,black,256,android,mediatek,Full HD,6.4
21,4.4,34990,https://rukminim2.flixcart.com/image/312/312/kd7pevk0/mobile/z/z/9/oppo-reno4-pro-cph2109-original-imafu5tb9rtbexkn.jpeg?q=70,storage128 gbram8 gbexpandable storage256gb  systemandroid 10processor typequalcomm snapdragon 720g octa coreprocessor speed23 48mp 8mp 2mp 2mp 48mp 8mp 2mp 2mp 48mp 8mp 2mp 2mp 48mp 8mp 2mp 2mp 32mp 32mp 4g capacity4000 display size1651 cm 65 inchresolution2400 x 1080 pixelsresolution typefull hdgpuadreno 618 at 750 mhzdisplay typefull hd amoled displaydisplay colors167mother display features209 screen aspect ratio color gamut vivid mode 97 ntsc100 dcip3 soft mode 65 ntsc92 srgb 50000001 contrast brightness 500 nit normal 800 nit hbm 1100 nit hdr local 97 ntsc color saturation corning gorilla glass 5 6090hz screen refresh rate touch sampling rate 120 hz normal 180 hz game,oppo,Reno4 Pro,white,128,android,qualcomm,Full HD,6.5
22,4.4,35990,https://rukminim2.flixcart.com/image/312/312/kjx6tu80/mobile/a/p/6/oppo-reno5-pro-5g-cph2201-original-imafze4br6espea4.jpeg?q=70,storage128 gbram8  systemandroid 11processor typemediatek dimensity 1000 mt6889processor speed26 64mp 8mp 2mp 2mp 64mp 8mp 2mp 2mp 64mp 8mp 2mp 2mp 64mp 8mp 2mp 2mp 32mp 32mp 5g capacity4350 display size1664 cm 655 inchresolution2400 x 1080 pixelsresolution typefull hdgpuarm g77 mc9 at 836 mhzdisplay typefull hd super amoled displaydisplay colors167mother display featuresscreen to body ratio 9210 6090hz refresh rate,oppo,Reno5 Pro 5G,blue,128,android,mediatek,Full HD,6.5
23,4.4,41990,https://rukminim2.flixcart.com/image/312/312/ktd9mkw0/mobile/b/l/m/reno6-pro-5g-cph2249-oppo-original-imag6pmnnkthda6y.jpeg?q=70,storage256 gbram12  systemandroid 11processor typemediatek dimensity 1200processor speed3 64mp 8mp 2mp 2mp 64mp 8mp 2mp 2mp 32mp 32mp 5g capacity4500 display size1664 cm 655 inchresolution2400 x 1080 pixelsresolution typefull hdgpuarm g77 mc9display typefull hd amoled displaydisplay colors167mother display features90 hz refresh rate 921 screentobody ratio color saturation 97 typical 209 aspect ratio static maximum contrast ratio 50000001 color gamut vivid mode 97 ntsc  100 dcip3 brightness 500 nits typical hbm 800 nits corning gorilla glass 5 touch sampling rate 180 hz max oleophobic coating night mode eye comfort hdr display,oppo,Reno6 Pro 5G,gold,256,android,mediatek,Full HD,6.5
24,4.4,34999,https://rukminim2.flixcart.com/image/312/312/kzhbfrk0/mobile/s/z/w/-original-imagbgxfgrqpqmpy.jpeg?q=70,storage256 gbram12 gbexpandable storage7gb  systemandroid 11processor typemediatek dimensity 1200maxprocessor speed3 50mp 8mp 2mp 50mp 8mp 2mp 32mp 32mp 5g capacity4500 display size1651 cm 65 inchresolution2400 x 1080 pixelsresolution typefull hd amoled displaygpuarm g77 mc9display typefull hd amoleddisplay colors167 millionother display features90 hz refresh rate screentobody ratio 9280 color saturation 97 aspect ratio 209 color gamut vivid mode 9760 ntsc9994 dcip3 gentle mode 72 ntsc100 srgb contrast ratio static maximum 10000001 dynamic maximum 10000001 brightness 500 nits with a maximum of 800 nits in sunlight and a maximum of 920 nits when displaying hdr or hdr10 contents,oppo,Reno7 Pro 5G,blue,256,android,mediatek,Full HD,6.5
25,4.4,45999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/r/k/-original-imagge6uzzhkz4bh.jpeg?q=70,storage256 gbram12  systemandroid 11processor typemediatek dimensity 1200processor speed3 50mp 8mp 2mp 50mp 8mp 2mp 32mp 32mp 5g capacity4500 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hd amoled displaygpuarm mali g610 mc6display typefull hd amoled displaydisplay colors107 billionother display features120 hz refresh rate screentobody ratio 934 color saturation 105 ntsc aspect ratio 2019 brightness 950 nits color gamut vivid mode 100 dci p3 gentle mode 100 srgb contrast ratio 25000001 diamond pixel arrangement blue,oppo,Reno8 Pro 5G,green,256,android,mediatek,Full HD,6.7
26,4.4,45999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/a/e/-original-imagge6puyb5czec.jpeg?q=70,storage256 gbram12  systemandroid 12processor typemediatek dimensity 8100 maxprocessor speed285 50mp 8mp 2mp 50mp 8mp 2mp 32mp 32mp 5g capacity4500 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hd amoled displaygpuarm mali g610 mc6display typefull hd amoled displaydisplay colors107 billionother display features120 hz refresh rate screentobody ratio 934 color saturation 105 ntsc aspect ratio 2019 brightness 950 nits color gamut vivid mode 100 dci p3 gentle mode 100 srgb contrast ratio 25000001 diamond pixel arrangement blue,oppo,Reno8 Pro 5G,black,256,android,mediatek,Full HD,6.7
27,4.5,32546,https://rukminim2.flixcart.com/image/312/312/jrtj2q80/mobile/t/w/x/vivo-v15-pro-1818-pd1832f-ex-original-imafdj59tvmuffyg.jpeg?q=70,storage128 gbram6 gbexpandable storage256gb  systemandroid pie 90processor typequalcomm snapdragon 675aie octa core 20ghzprocessor speed2 48mp 5mp 8mp 32mp 3g capacity3700 display size1623 cm 639 inchresolution2340 x 1080 pixelsresolution typefull hdgpuadreno 612display typesuper amoleddisplay colors16mother display featuresbezel 175mm side 222mm top 36mm bottom screen to body ratio 9164 ultra fullview display,vivo,V15 Pro,blue,128,android,qualcomm,Full HD,6.4
28,4.5,32546,https://rukminim2.flixcart.com/image/312/312/k3xcdjk0pkrrdj/mobile/s/x/d/vivo-v17pro-vivo-1909-pd1931f-ex-original-imafkgvhzgngjdbz.jpeg?q=70,storage128 gbram8  systemandroid pie 90processor typequalcomm snapdragon 675 aieprocessor speed2 48mp 13mp 8mp 2mp 48mp 13mp 8mp 2mp 32mp 8mp 32mp 8mp 3g capacity4100 display size1636 cm 644 inchresolution2400 x 1080 pixelsresolution typefull hdgpuadreno 612display typesuper amoleddisplay colors16mother display featuresbezel 185mmside 351mmbottom 208mmtop screen to body ratio  9165 display protection  schott xensation u,vivo,V17Pro,black,128,android,qualcomm,Full HD,6.4
29,4.3,32557,https://rukminim2.flixcart.com/image/312/312/ky0g58w0/mobile/c/a/v/-original-imagabvq2zhfb2fk.jpeg?q=70,storage256 gbram12  systemandroid 12processor typemediatek dimensity 920processor speed25 64mp 8mp 2mp 50mp 8mp 5g capacity4200 display size1636 cm 644 inchresolution2400x1080pixelsresolution typefull hdgpuarm mali g68display typefull hd amoled displayother display features2009 aspect ratio screentobody ratio 9104,vivo,V23 5G,black,256,android,mediatek,Full HD,6.4
30,4.5,32546,https://rukminim2.flixcart.com/image/312/312/k9loccw0/mobile/p/z/q/apple-iphone-se-mxd02hn-a-original-imafrcpjyscxm8fv.jpeg?q=70,storage128  systemios 142processor typea13 bionic chip 12mp 12mp 7mp 4g notmentioned display size1194 cm 47 inchresolution1334 x 750 pixelsresolution typeretina hd displaydisplay typeretina hd displayhd game supportyesother display featureswidescreen hd lcd retina multitouch ips display 14001 contrast ratio typical true tone display wide color display p3 haptic touch 625 nits max brightness typical fingerprintresistant oleophobic coating display zoom reachability,apple,iPhone SE,black,128,ios,apple,HD,4.7
31,4.6,32546,https://rukminim2.flixcart.com/image/312/312/k9loccw0/mobile/p/z/q/apple-iphone-se-mxd02hn-a-original-imafrcpjyscxm8fv.jpeg?q=70,storage128  systemios 13processor typea13 bionic chip 12mp 12mp 7mp 4g typeliion display size1194 cm 47 inchresolution1334 x 750 pixelsresolution typeretina hd displaydisplay typeretina hd displayother display featureswidescreen hd lcd retina multitouch ips display 14001 contrast ratio typical true tone display wide color display p3 haptic touch 625 nits max brightness typical fingerprintresistant oleophobic coating display zoom reachability,apple,iPhone SE,black,128,ios,apple,HD,4.7
32,4.5,32546,https://rukminim2.flixcart.com/image/312/312/k9loccw0/mobile/6/8/g/apple-iphone-se-mxvv2hn-a-original-imafrcqmfh4zznmq.jpeg?q=70,storage128  systemios 13processor typea13 bionic chip 12mp 12mp 7mp 4g capacity1715 display size1194 cm 47 inchresolution1334 x 750 pixelsresolution typeretina hd displaydisplay typeretina hd displayother display featureswidescreen hd lcd retina multitouch ips display 14001 contrast ratio typical true tone display wide color display p3 haptic touch 625 nits max brightness typical fingerprintresistant oleophobic coating display zoom reachability,apple,iPhone SE,red,128,ios,apple,HD,4.7
33,4.7,32546,https://rukminim2.flixcart.com/image/312/312/k9loccw0/mobile/6/b/z/apple-iphone-se-mxd12hn-a-original-imafrcqf9nze6evk.jpeg?q=70,storage128  systemios 142processor typea13 bionic chip 12mp 12mp 7mp 4g notmentioned display size1194 cm 47 inchresolution1334 x 750 pixelsresolution typeretina hd displaydisplay typeretina hd displayhd game supportyesother display featureswidescreen hd lcd retina multitouch ips display 14001 contrast ratio typical true tone display wide color display p3 haptic touch 625 nits max brightness typical fingerprintresistant oleophobic coating display zoom reachability,apple,iPhone SE,white,128,ios,apple,HD,4.7
34,4.5,32546,https://rukminim2.flixcart.com/image/312/312/k9loccw0/mobile/6/8/g/apple-iphone-se-mxvv2hn-a-original-imafrcqmfh4zznmq.jpeg?q=70,storage128  systemios 142processor typea13 bionic chip 12mp 12mp 7mp 4g notmentioned display size1194 cm 47 inchresolution1334 x 750 pixelsresolution typeretina hd displaydisplay typeretina hd displayhd game supportyesother display featureswidescreen hd lcd retina multitouch ips display 14001 contrast ratio typical true tone display wide color display p3 haptic touch 625 nits max brightness typical fingerprintresistant oleophobic coating display zoom reachability,apple,iPhone SE,red,128,ios,apple,HD,4.7
35,4.6,32546,https://rukminim2.flixcart.com/image/312/312/k9loccw0/mobile/6/b/z/apple-iphone-se-mxd12hn-a-original-imafrcqf9nze6evk.jpeg?q=70,storage128  systemios 13processor typea13 bionic chip 12mp 12mp 7mp 4g notmentioned display size1194 cm 47 inchresolution1334 x 750 pixelsresolution typeretina hd displaydisplay typeretina hd displayother display featureswidescreen hd lcd retina multitouch ips display 14001 contrast ratio typical true tone display wide color display p3 haptic touch 625 nits max brightness typical fingerprintresistant oleophobic coating display zoom reachability,apple,iPhone SE,white,128,ios,apple,HD,4.7
36,4.5,32699,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/9/6/t/-original-imagca67gxuvkmrj.jpeg?q=70,storage64  systemios 15processor typea15 bionic chip 12mp 12mp 63mp 8mp 7mp 7mp 5g notmentioned display size1194 cm 47 inchresolution1334 x 750 pixelsresolution typeretina hd displaygpu4 coredisplay typeretina hd lcd displayother display featureswidescreen lcd multi touch display with ips technology contrast ratio 14001 true tone display wide color display p3 max brightness 625 nits display zoom,apple,iPhone SE 3rd Gen,red,64,ios,apple,HD,4.7
